UNIQUE_ID,avg_summer_temp,avg_summer_do,critical_events,sample_count,cluster,risk_category
W0406,21.01666666666667,8.049999999999999,0,6,2,Medium Risk
W0407,22.5,5.433333333333334,3,6,2,Medium Risk
W0408,18.833333333333332,4.933333333333334,3,6,0,High Risk
W0409,18.816666666666666,8.133333333333335,0,6,1,Low Risk
W0414,21.65,8.325,0,8,2,Medium Risk
W0416,18.16,6.5200000000000005,1,5,1,Low Risk
W0435,16.16,5.220000000000001,2,5,1,Low Risk
W0436,17.759999999999998,7.720000000000001,0,5,1,Low Risk
W0437,18.3,4.720000000000001,3,5,0,High Risk
W0448,15.7,5.12,3,5,0,High Risk
W0451,17.183333333333334,6.183333333333334,0,6,1,Low Risk
W0452,19.2,7.216666666666666,0,6,1,Low Risk
W0453,20.54,7.88,0,5,1,Low Risk
W0454,21.32,7.7,0,5,2,Medium Risk
W0480,20.5,8.549999999999999,0,6,1,Low Risk
W0481,19.716666666666665,8.066666666666666,0,18,1,Low Risk
W0482,17.55,6.933333333333334,2,6,1,Low Risk
W0483,16.822222222222223,8.522222222222222,0,9,1,Low Risk
W0484,21.099999999999998,6.166666666666667,1,6,2,Medium Risk
W0485,21.375,7.583333333333333,0,12,2,Medium Risk
W0486,20.95,8.25,0,6,2,Medium Risk
W0487,20.02777777777778,7.022222222222222,0,18,1,Low Risk
W0488,20.733333333333334,7.949999999999999,0,6,2,Medium Risk
W0490,19.37272727272727,8.231818181818182,0,22,1,Low Risk
W0491,23.426315789473687,8.88421052631579,0,19,2,Medium Risk
W0492,22.075,8.695,0,20,2,Medium Risk
W0493,14.670000000000002,10.51,0,20,1,Low Risk
W0494,21.535,8.36,0,20,2,Medium Risk
W0495,24.842857142857145,6.442857142857143,0,7,2,Medium Risk
W0496,21.038888888888888,7.783333333333333,0,18,2,Medium Risk
W0502,21.566666666666666,8.216666666666667,0,6,2,Medium Risk
W0515,21.975,4.725,8,16,0,High Risk
W0600,22.053846153846152,8.623076923076923,0,13,2,Medium Risk
W0601,23.133333333333336,7.658333333333334,0,12,2,Medium Risk
W0602,22.666666666666668,8.1,0,12,2,Medium Risk
W0603,13.273170731707317,6.309756097560975,12,41,0,High Risk
W0604,24.676923076923078,6.876923076923077,2,13,2,Medium Risk
W0608,21.116666666666667,9.816666666666666,0,6,1,Low Risk
W0615,18.941666666666666,9.091666666666667,0,12,1,Low Risk
W0622,20.599999999999998,2.8166666666666664,6,6,0,High Risk
W0624,18.683333333333334,8.283333333333333,0,6,1,Low Risk
W0637,18.016666666666666,7.583333333333333,0,6,1,Low Risk
W0638,19.766666666666666,5.966666666666666,0,6,2,Medium Risk
W0641,22.666666666666668,6.683333333333334,0,6,2,Medium Risk
W0651,20.333333333333332,5.616666666666667,2,6,2,Medium Risk
W0654,18.233333333333334,8.15,0,6,1,Low Risk
W0661,19.233333333333334,5.6499999999999995,1,6,2,Medium Risk
W0665,19.01666666666667,7.666666666666667,0,6,1,Low Risk
W0680,21.147058823529413,8.141176470588235,0,17,2,Medium Risk
W0681,15.633333333333333,9.31111111111111,0,9,1,Low Risk
W0682,24.271428571428572,7.328571428571428,0,7,2,Medium Risk
W0685,22.288888888888888,7.0,0,9,2,Medium Risk
W0686,23.655555555555555,7.1,0,9,2,Medium Risk
W0689,23.78,7.55,0,10,2,Medium Risk
W0690,21.71666666666667,8.825000000000001,0,12,2,Medium Risk
W0691,20.79090909090909,7.672727272727273,0,11,2,Medium Risk
W0692,22.566666666666666,7.677777777777777,0,18,2,Medium Risk
W0693,21.075,4.875,7,12,0,High Risk
W0694,21.977777777777778,7.6000000000000005,0,18,2,Medium Risk
W0695,19.892857142857142,6.514285714285714,0,14,2,Medium Risk
W0696,22.24285714285714,8.235714285714286,0,14,2,Medium Risk
W0697,23.10909090909091,8.009090909090908,0,11,2,Medium Risk
W0698,20.259999999999998,6.659999999999999,1,10,2,Medium Risk
W0754,24.85072463768116,8.084057971014492,4,69,2,Medium Risk
W0762,24.131506849315066,7.745205479452054,8,73,0,High Risk
W0767,21.7375,7.3875,1,16,2,Medium Risk
W0821,21.86,6.58,0,5,2,Medium Risk
W0858,22.4,7.12,0,5,2,Medium Risk
W0869,21.95,4.883333333333334,3,6,0,High Risk
W0877,17.259999999999998,8.18,0,5,1,Low Risk
W0878,18.16,9.18,0,5,1,Low Risk
W0882,18.24,4.58,3,5,0,High Risk
W0883,19.240000000000002,7.44,0,5,1,Low Risk
W0889,18.116666666666667,7.583333333333333,0,6,1,Low Risk
W0901,24.84,7.359999999999999,0,5,2,Medium Risk
W0905,19.36,6.62,0,5,1,Low Risk
W0923,23.7,8.016666666666667,2,12,2,Medium Risk
W0925,24.71,8.61,1,10,2,Medium Risk
W0926,24.644086021505377,7.697849462365591,4,93,2,Medium Risk
W0930,24.695348837209306,7.265116279069767,7,86,0,High Risk
W0940,23.11818181818182,7.609090909090909,0,11,2,Medium Risk
W0947,24.125,6.95,4,12,2,Medium Risk
W0958,20.8625,7.21875,4,16,2,Medium Risk
W0970,19.53,7.33,4,20,1,Low Risk
W0989,17.7375,8.7,0,8,1,Low Risk
W0993,22.03333333333333,8.1,0,6,2,Medium Risk
W0998,22.0,8.059999999999999,0,5,2,Medium Risk
W1000,21.05,6.833333333333333,0,6,2,Medium Risk
W1001,22.75,5.216666666666667,1,6,2,Medium Risk
W1005,14.914705882352942,6.1499999999999995,13,34,0,High Risk
W1008,21.183333333333334,8.183333333333332,0,6,2,Medium Risk
W1012,15.1,10.016666666666667,0,6,1,Low Risk
W1013,17.816666666666666,9.299999999999999,0,6,1,Low Risk
W1014,22.8,8.133333333333333,0,6,2,Medium Risk
W1015,21.383333333333336,8.700000000000001,0,6,2,Medium Risk
W1018,22.566666666666666,7.116666666666667,0,6,2,Medium Risk
W1023,22.266666666666666,8.15,0,6,2,Medium Risk
W1025,21.633333333333336,7.75,0,6,2,Medium Risk
W1031,23.3375,8.3375,0,8,2,Medium Risk
W1033,20.983333333333334,8.633333333333333,0,6,1,Low Risk
W1036,19.916666666666668,5.55,0,6,2,Medium Risk
W1038,24.566666666666666,7.483333333333333,0,6,2,Medium Risk
W1039,19.46,8.08,0,5,1,Low Risk
W1050,18.775,7.925,0,8,1,Low Risk
W1051,20.0625,7.875,0,8,1,Low Risk
W1052,21.119999999999997,8.22,0,5,2,Medium Risk
W1055,17.775,8.9,0,8,1,Low Risk
W1061,21.45,7.5375,0,8,2,Medium Risk
W1063,18.8375,4.075,4,8,0,High Risk
W1065,19.875,7.8625,0,8,1,Low Risk
W1068,24.22142857142857,6.414285714285714,4,14,2,Medium Risk
W1086,23.135714285714283,7.771428571428571,1,14,2,Medium Risk
W1087,19.878260869565217,7.4739130434782615,8,23,0,High Risk
W1092,23.24375,6.2,4,16,2,Medium Risk
W1093,24.11,7.69,1,10,2,Medium Risk
W1098,19.45,8.85,0,6,1,Low Risk
W1099,20.98,8.18,0,5,2,Medium Risk
W1101,21.066666666666666,8.383333333333333,0,6,2,Medium Risk
W1104,19.333333333333332,7.1000000000000005,0,6,1,Low Risk
W1105,19.95,7.599999999999999,0,6,1,Low Risk
W1113,21.733333333333334,6.983333333333333,0,6,2,Medium Risk
W1115,18.849999999999998,6.8999999999999995,0,6,1,Low Risk
W1135,21.333333333333332,7.383333333333334,0,6,2,Medium Risk
W1136,22.71666666666667,7.6000000000000005,0,6,2,Medium Risk
W1137,23.82,8.059999999999999,0,5,2,Medium Risk
W1138,24.02,5.4399999999999995,2,5,2,Medium Risk
W1139,22.72,7.540000000000001,1,5,2,Medium Risk
W1141,23.7,7.849999999999999,0,6,2,Medium Risk
W1142,17.866666666666667,6.716666666666666,0,6,1,Low Risk
W1143,17.666666666666668,6.8500000000000005,0,6,1,Low Risk
W1144,19.166666666666668,4.716666666666667,4,6,0,High Risk
W1147,20.16,4.4799999999999995,3,5,0,High Risk
W1150,23.650000000000002,7.6000000000000005,0,6,2,Medium Risk
W1151,22.516666666666666,5.583333333333333,3,6,2,Medium Risk
W1156,18.740000000000002,5.9399999999999995,0,5,1,Low Risk
W1157,19.783333333333335,8.25,0,6,1,Low Risk
W1226,22.272222222222222,8.016666666666667,4,18,2,Medium Risk
W1237,22.92,7.64,1,15,2,Medium Risk
W1240,21.083333333333332,7.25,0,6,2,Medium Risk
W1244,21.849999999999998,7.033333333333334,0,6,2,Medium Risk
W1255,21.033333333333335,6.633333333333333,0,6,2,Medium Risk
W1282,18.46666666666667,8.683333333333332,0,6,1,Low Risk
W1283,18.75,7.6499999999999995,0,6,1,Low Risk
W1289,17.619999999999997,6.409999999999999,1,10,1,Low Risk
W1290,16.057142857142857,5.942857142857143,2,7,1,Low Risk
W1291,18.56,8.3,1,10,1,Low Risk
W1293,15.783333333333333,4.545833333333333,12,24,0,High Risk
