UNIQUE_ID,DO_critical_count,stress_combo_count,flow_flag_count,avg_risk_score,avg_temp,avg_DO,latitude,longitude,total_samples,watershed,DO_critical_rate,stress_combo_rate,risk_rank
W0344,0,0,15,1.7333333333333334,18.493333333333332,8.826666666666666,41.63266048,-71.06038287,15,Buzzards Bay,0.0,0.0,569
W2812,2,0,26,1.7307692307692308,23.65,8.446153846153846,41.7024219,-70.1327421,26,Cape Cod,7.6923076923076925,0.0,570
W1786,0,0,11,1.7272727272727273,22.863636363636363,7.354545454545455,42.0941279,-72.56911519,11,Connecticut,0.0,0.0,571
W2032,1,0,9,1.7272727272727273,19.80909090909091,7.990909090909091,42.21687046,-70.92243616,11,Weymouth & Weir,9.090909090909092,0.0,572
W2286,0,0,11,1.7272727272727273,15.127272727272727,9.745454545454546,42.70347188,-72.95887989,11,Deerfield,0.0,0.0,573
W2414,0,0,11,1.7272727272727273,18.745454545454546,9.481818181818182,42.71500304,-72.66972243,11,Deerfield,0.0,0.0,574
W1295,6,0,33,1.7272727272727273,23.16969696969697,6.312121212121212,42.05363901,-71.84807799,33,French,18.181818181818183,0.0,575
W1055,0,0,11,1.7272727272727273,17.29090909090909,9.072727272727272,42.28189876,-72.42726497,11,Connecticut,0.0,0.0,576
W1050,0,0,11,1.7272727272727273,18.418181818181818,8.063636363636364,42.38639934,-72.5503928,11,Connecticut,0.0,0.0,577
W2218,0,0,18,1.7222222222222223,16.994444444444444,9.066666666666666,42.46470593,-72.38454489,18,Chicopee,0.0,0.0,578
W1439,0,0,6,1.7142857142857142,17.457142857142856,8.27142857142857,42.17268159,-71.62792867,7,Blackstone,0.0,0.0,579
W2541,0,0,7,1.7142857142857142,21.714285714285715,7.457142857142857,42.444418,-71.551697,7,Concord (SuAsCo),0.0,0.0,580
W1099,0,0,7,1.7142857142857142,20.214285714285715,8.514285714285714,42.1439533,-73.35976951,7,Housatonic,0.0,0.0,581
W1772,0,0,7,1.7142857142857142,17.414285714285715,5.885714285714286,42.01550267,-71.49304478,7,Blackstone,0.0,0.0,582
W2694,1,0,21,1.7142857142857142,22.728571428571428,8.028571428571428,42.1145632,-71.7422755,21,Blackstone,4.761904761904762,0.0,583
W2622,1,0,14,1.7142857142857142,22.37857142857143,6.942857142857143,42.31238075,-73.13334482,14,Westfield,7.142857142857142,0.0,584
W2405,0,0,6,1.7142857142857142,21.157142857142855,6.3999999999999995,41.99746222,-70.95386851,7,Taunton,0.0,0.0,585
W2699,1,0,21,1.7142857142857142,20.823809523809523,10.485714285714286,42.3766553,-71.7695512,21,Nashua,4.761904761904762,0.0,586
W0293,0,0,16,1.7058823529411764,16.11176470588235,9.594117647058823,42.58708857,-72.35718789,17,Millers,0.0,0.0,587
W1143,1,0,10,1.7,17.03,6.720000000000001,42.39554541,-71.19710167,10,Charles,10.0,0.0,588
W1136,1,0,10,1.7,20.57,7.35,42.13828143,-71.35867289,10,Charles,10.0,0.0,589
