UNIQUE_ID,Latitude,Longitude,year,month,season,TEMP,DO,risk_score,DO_critical,stress_combo,flow_flag,TEMP_plus2,DO_plus2,watershed
W2989,42.45158172,-72.0300279,2020.0,8.0,Summer,22.6,5.0,2,0,0,1,24.6,4.5,Chicopee
W2990,42.41614547,-72.00792237,2020.0,7.0,Summer,26.1,8.8,2,0,0,1,28.1,8.3,Chicopee
W2990,42.41614547,-72.00792237,2020.0,8.0,Summer,26.7,9.2,2,0,0,1,28.7,8.7,Chicopee
W2991,42.44674169,-71.93975559,2020.0,7.0,Summer,24.6,4.2,3,1,0,1,26.6,3.7,Chicopee
W2991,42.44674169,-71.93975559,2020.0,8.0,Summer,25.8,4.7,4,1,1,1,27.8,4.2,Chicopee
W2999,42.22369805,-71.68770771,2020.0,7.0,Summer,21.5,4.4,3,1,0,1,23.5,3.9000000000000004,Blackstone
W2999,42.22369805,-71.68770771,2020.0,8.0,Summer,17.2,2.5,3,1,0,1,19.2,2.0,Blackstone
W3001,42.26151866,-71.84831069,2020.0,7.0,Summer,19.7,5.1,2,0,0,1,21.7,4.6,Blackstone
W3001,42.26151866,-71.84831069,2020.0,8.0,Summer,17.6,5.7,2,0,0,1,19.6,5.2,Blackstone
W2972,42.27077749,-71.98279137,2020.0,7.0,Summer,21.6,8.4,2,0,0,1,23.6,7.9,Chicopee
W2972,42.27077749,-71.98279137,2020.0,8.0,Summer,17.0,9.0,2,0,0,1,19.0,8.5,Chicopee
W0490,42.26477944,-72.00491606,2020.0,7.0,Summer,20.8,8.4,2,0,0,1,22.8,7.9,Chicopee
W0490,42.26477944,-72.00491606,2020.0,8.0,Summer,16.6,9.3,2,0,0,1,18.6,8.8,Chicopee
W3008,42.35232578,-71.89096029,2020.0,7.0,Summer,18.6,2.7,3,1,0,1,20.6,2.2,Nashua
W3008,42.35232578,-71.89096029,2020.0,8.0,Summer,16.8,7.9,2,0,0,1,18.8,7.4,Nashua
W3002,42.30545572,-71.87758341,2020.0,7.0,Summer,20.2,6.2,2,0,0,1,22.2,5.7,Blackstone
W2945,42.30647078,-71.76580774,2020.0,7.0,Summer,19.7,8.4,2,0,0,1,21.7,7.9,Blackstone
W2945,42.30647078,-71.76580774,2020.0,8.0,Summer,16.5,9.5,2,0,0,1,18.5,9.0,Blackstone
W3000,42.29051615,-71.7673158,2020.0,7.0,Summer,20.4,8.3,2,0,0,1,22.4,7.800000000000001,Blackstone
W3000,42.29051615,-71.7673158,2020.0,8.0,Summer,18.7,9.0,2,0,0,1,20.7,8.5,Blackstone
W2960,42.55493712,-72.12734536,2020.0,7.0,Summer,21.6,4.4,3,1,0,1,23.6,3.9000000000000004,Millers
W2960,42.55493712,-72.12734536,2020.0,8.0,Summer,14.3,6.7,2,0,0,1,16.3,6.2,Millers
W2955,42.55608497,-72.30064271,2020.0,7.0,Summer,22.0,7.7,2,0,0,1,24.0,7.2,Millers
W2958,42.60698139,-72.16349796,2020.0,7.0,Summer,23.6,4.6,3,1,0,1,25.6,4.1,Millers
W2958,42.60698139,-72.16349796,2020.0,8.0,Summer,17.8,5.6,2,0,0,1,19.8,5.1,Millers
W2957,42.63003931,-72.16378855,2020.0,7.0,Summer,22.7,5.6,2,0,0,1,24.7,5.1,Millers
W2957,42.63003931,-72.16378855,2020.0,8.0,Summer,15.7,6.5,2,0,0,1,17.7,6.0,Millers
W2956,42.68339607,-72.17229563,2020.0,7.0,Summer,22.9,7.9,2,0,0,1,24.9,7.4,Millers
W2956,42.68339607,-72.17229563,2020.0,8.0,Summer,16.8,9.6,2,0,0,1,18.8,9.1,Millers
W2959,42.6130637,-72.12973159,2020.0,7.0,Summer,21.7,8.2,2,0,0,1,23.7,7.699999999999999,Millers
W2959,42.6130637,-72.12973159,2020.0,8.0,Summer,16.8,8.5,2,0,0,1,18.8,8.0,Millers
W2961,42.58897184,-72.03710739,2020.0,7.0,Summer,21.7,7.9,2,0,0,1,23.7,7.4,Millers
W2961,42.58897184,-72.03710739,2020.0,8.0,Summer,17.8,8.6,2,0,0,1,19.8,8.1,Millers
W1836,42.56316154,-71.76154939,2020.0,7.0,Summer,23.7,7.6,2,0,0,1,25.7,7.1,Nashua
W1836,42.56316154,-71.76154939,2020.0,8.0,Summer,20.1,8.6,2,0,0,1,22.1,8.1,Nashua
W2970,42.58473938,-71.77277533,2020.0,7.0,Summer,20.7,7.9,2,0,0,1,22.7,7.4,Nashua
W2970,42.58473938,-71.77277533,2020.0,8.0,Summer,17.1,8.2,2,0,0,1,19.1,7.699999999999999,Nashua
W3007,42.56717587,-71.69666278,2020.0,7.0,Summer,18.3,6.0,2,0,0,1,20.3,5.5,Nashua
W3007,42.56717587,-71.69666278,2020.0,8.0,Summer,14.9,8.0,2,0,0,1,16.9,7.5,Nashua
W3010,42.44794562,-71.3782804,2020.0,7.0,Summer,27.9,5.7,2,0,0,1,29.9,5.2,Concord (SuAsCo)
W3010,42.44794562,-71.3782804,2020.0,8.0,Summer,20.9,7.1,2,0,0,1,22.9,6.6,Concord (SuAsCo)
W3011,42.38602647,-71.43974631,2020.0,7.0,Summer,21.6,7.9,2,0,0,1,23.6,7.4,Concord (SuAsCo)
W3011,42.38602647,-71.43974631,2020.0,8.0,Summer,17.3,8.6,2,0,0,1,19.3,8.1,Concord (SuAsCo)
W3012,42.37600327,-71.47659538,2020.0,7.0,Summer,29.2,6.9,2,0,0,1,31.2,6.4,Concord (SuAsCo)
W3012,42.37600327,-71.47659538,2020.0,8.0,Summer,24.8,8.2,2,0,0,1,26.8,7.699999999999999,Concord (SuAsCo)
W3009,42.39315061,-71.58188625,2020.0,7.0,Summer,22.6,7.0,1,0,0,0,24.6,6.5,Concord (SuAsCo)
W3009,42.39315061,-71.58188625,2020.0,8.0,Summer,18.3,8.1,1,0,0,0,20.3,7.6,Concord (SuAsCo)
W2996,42.1149129,-71.70458582,2020.0,7.0,Summer,17.7,0.4,3,1,0,1,19.7,0.0,Blackstone
W2996,42.1149129,-71.70458582,2020.0,8.0,Summer,17.5,1.3,3,1,0,1,19.5,0.8,Blackstone
W2997,42.10854137,-71.69487674,2020.0,7.0,Summer,21.1,7.8,2,0,0,1,23.1,7.3,Blackstone
W2997,42.10854137,-71.69487674,2020.0,8.0,Summer,16.7,8.3,2,0,0,1,18.7,7.800000000000001,Blackstone
W2998,42.07200745,-71.70324028,2020.0,7.0,Summer,21.4,7.7,2,0,0,1,23.4,7.2,Blackstone
W2998,42.07200745,-71.70324028,2020.0,8.0,Summer,16.0,8.5,2,0,0,1,18.0,8.0,Blackstone
W2413,42.00792,-71.70506,2020.0,7.0,Summer,23.1,7.5,2,0,0,1,25.1,7.0,Blackstone
W2413,42.00792,-71.70506,2020.0,8.0,Summer,15.8,6.8,2,0,0,1,17.8,6.3,Blackstone
W2284,42.04638466,-71.6301536,2020.0,7.0,Summer,24.0,7.9,2,0,0,1,26.0,7.4,Blackstone
W2284,42.04638466,-71.6301536,2020.0,8.0,Summer,17.6,9.0,2,0,0,1,19.6,8.5,Blackstone
W2993,42.02818823,-71.53998784,2020.0,7.0,Summer,23.8,7.4,2,0,0,1,25.8,6.9,Blackstone
W2993,42.02818823,-71.53998784,2020.0,8.0,Summer,16.6,8.3,2,0,0,1,18.6,7.800000000000001,Blackstone
W2994,42.09240248,-71.59154659,2020.0,7.0,Summer,23.0,6.3,1,0,0,0,25.0,5.8,Blackstone
W2994,42.09240248,-71.59154659,2020.0,8.0,Summer,16.4,5.2,1,0,0,0,18.4,4.7,Blackstone
W1429,42.1231178,-71.59908641,2020.0,7.0,Summer,16.2,0.9,3,1,0,1,18.2,0.4,Blackstone
W2995,42.22575344,-71.65289845,2020.0,7.0,Summer,19.4,2.7,3,1,0,1,21.4,2.2,Blackstone
W2995,42.22575344,-71.65289845,2020.0,8.0,Summer,16.5,7.0,2,0,0,1,18.5,6.5,Blackstone
W2977,42.44429909,-72.37166057,2020.0,7.0,Summer,20.0,8.6,2,0,0,1,22.0,8.1,Chicopee
W2977,42.44429909,-72.37166057,2020.0,8.0,Summer,15.9,9.4,2,0,0,1,17.9,8.9,Chicopee
W2978,42.36492922,-72.32529204,2020.0,7.0,Summer,21.1,8.5,2,0,0,1,23.1,8.0,Chicopee
W2978,42.36492922,-72.32529204,2020.0,8.0,Summer,17.0,9.3,2,0,0,1,19.0,8.8,Chicopee
W2979,42.50329864,-72.31786462,2020.0,7.0,Summer,18.1,7.2,2,0,0,1,20.1,6.7,Chicopee
W2979,42.50329864,-72.31786462,2020.0,8.0,Summer,15.5,8.1,2,0,0,1,17.5,7.6,Chicopee
W2980,42.51854875,-72.31737256,2020.0,7.0,Summer,23.6,6.7,2,0,0,1,25.6,6.2,Chicopee
W2980,42.51854875,-72.31737256,2020.0,8.0,Summer,18.2,8.1,2,0,0,1,20.2,7.6,Chicopee
W2948,42.30798331,-71.81943101,2020.0,8.0,Summer,20.6,5.2,2,0,0,1,22.6,4.7,Blackstone
W2948,42.30798331,-71.81943101,2020.0,9.0,Fall,15.1,9.5,1,0,0,1,17.1,9.0,Blackstone
W2886,42.44662969,-71.8181233,2019.0,7.0,Summer,18.5,8.9,2,0,0,1,20.5,8.4,Nashua
W2887,42.61760369,-71.72624143,2019.0,7.0,Summer,17.5,7.8,2,0,0,1,19.5,7.3,Nashua
W2410,42.664623,-71.753811,2019.0,7.0,Summer,18.2,8.4,2,0,0,1,20.2,7.9,Nashua
W2888,42.70288914,-71.75177322,2019.0,7.0,Summer,18.2,8.6,2,0,0,1,20.2,8.1,Nashua
W2889,42.62248944,-71.02018566,2019.0,7.0,Summer,19.4,6.4,2,0,0,1,21.4,5.9,Ipswich
W2890,42.66074776,-70.90371136,2019.0,7.0,Summer,20.2,7.4,2,0,0,1,22.2,6.9,Ipswich
W2287,42.69539254,-72.22718449,2019.0,7.0,Summer,18.6,7.1,2,0,0,1,20.6,6.6,Millers
W2895,42.62069634,-72.39305406,2019.0,7.0,Summer,16.1,9.2,2,0,0,1,18.1,8.7,Millers
W2896,42.38033448,-72.46510155,2019.0,7.0,Summer,18.0,9.3,2,0,0,1,20.0,8.8,Connecticut
W2897,42.44704256,-72.49190917,2019.0,7.0,Summer,22.9,7.9,2,0,0,1,24.9,7.4,Connecticut
W2898,42.45007437,-72.45260735,2019.0,7.0,Summer,16.3,9.4,2,0,0,1,18.3,8.9,Connecticut
W2899,42.46777728,-72.15673762,2019.0,7.0,Summer,22.1,8.1,2,0,0,1,24.1,7.6,Chicopee
