UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W2897,42.44704256,-72.49190917,17.1,9.3,1,1,Fall,2019.0,9.0,0,0,0
W2898,42.45007437,-72.45260735,14.0,10.1,1,1,Fall,2019.0,9.0,0,0,0
W2899,42.46777728,-72.15673762,15.9,9.3,1,1,Fall,2019.0,9.0,0,0,0
W2900,42.43953233,-72.04115765,16.3,8.9,1,1,Fall,2019.0,9.0,0,0,0
W2901,42.20154773,-72.04487072,14.3,3.2,1,2,Fall,2019.0,9.0,0,1,0
W2902,42.05048837,-72.09627321,13.1,9.9,1,1,Fall,2019.0,9.0,0,0,0
W2904,42.07493076,-71.7950707,14.4,7.8,1,1,Fall,2019.0,9.0,0,0,0
W2903,42.01542185,-71.79841192,15.7,9.2,1,1,Fall,2019.0,9.0,0,0,0
W2413,42.00792,-71.70506,16.8,9.3,1,1,Fall,2019.0,9.0,0,0,0
W2905,42.04529263,-71.65201157,17.7,8.8,1,1,Fall,2019.0,9.0,0,0,0
W2906,42.18795491,-71.62720825,16.9,4.2,1,2,Fall,2019.0,9.0,0,1,0
W2910,41.95851534,-71.2424628,17.6,3.0,1,2,Fall,2019.0,9.0,0,1,0
W2466,41.77254787,-71.08494839,17.1,8.1,1,1,Fall,2019.0,9.0,0,0,0
W2911,41.77800443,-71.07593377,18.3,6.6,1,1,Fall,2019.0,9.0,0,0,0
W0918,42.16028331,-70.78863391,18.7,7.6,1,1,Fall,2019.0,9.0,0,0,0
W2912,42.18764862,-70.76850844,19.1,1.5,1,2,Fall,2019.0,9.0,0,1,0
W2913,42.19862254,-70.83275,19.5,5.5,1,1,Fall,2019.0,9.0,0,0,0
W2842,42.70281576,-72.45189591,12.8,10.0,1,2,Summer,2019.0,6.0,1,0,0
W1782,42.62058327,-72.54988746,13.7,10.8,1,2,Summer,2019.0,6.0,1,0,0
W2843,42.5098257,-72.66169041,13.1,10.4,1,2,Summer,2019.0,6.0,1,0,0
W1063,42.47836238,-72.61893594,15.8,6.2,1,2,Summer,2019.0,6.0,1,0,0
W2844,42.48176265,-72.60513286,16.4,7.2,1,2,Summer,2019.0,6.0,1,0,0
W1061,42.36655405,-72.60488814,18.7,8.9,1,2,Summer,2019.0,6.0,1,0,0
W1796,42.31899322,-72.66514075,17.1,10.2,1,2,Summer,2019.0,6.0,1,0,0
W2845,42.37683842,-72.49492563,13.5,9.8,1,2,Summer,2019.0,6.0,1,0,0
W2846,42.41550849,-72.51258326,14.3,10.1,1,2,Summer,2019.0,6.0,1,0,0
W2854,42.41118008,-72.5674643,14.3,8.6,1,2,Summer,2019.0,6.0,1,0,0
W1050,42.38639934,-72.5503928,16.9,8.7,1,2,Summer,2019.0,6.0,1,0,0
W2847,42.38339502,-72.5850062,22.3,8.6,1,2,Summer,2019.0,6.0,1,0,0
W1051,42.33278638,-72.57858317,19.0,8.5,1,2,Summer,2019.0,6.0,1,0,0
W2848,42.28071001,-72.4252915,16.5,8.8,1,2,Summer,2019.0,6.0,1,0,0
W1055,42.28189876,-72.42726497,16.9,9.0,1,2,Summer,2019.0,6.0,1,0,0
W2849,42.27820079,-72.57541581,20.3,8.9,1,2,Summer,2019.0,6.0,1,0,0
W2850,42.28230014,-72.58708557,16.1,9.8,1,2,Summer,2019.0,6.0,1,0,0
W1065,42.28349688,-72.64060074,17.4,8.5,1,2,Summer,2019.0,6.0,1,0,0
W2851,42.27748219,-72.65403879,20.7,8.6,1,2,Summer,2019.0,6.0,1,0,0
W1792,42.24704007,-72.58037808,21.3,8.6,1,2,Summer,2019.0,6.0,1,0,0
W2852,42.21396566,-72.59514866,17.6,9.2,1,2,Summer,2019.0,6.0,1,0,0
W2855,42.19157879,-72.59779736,16.5,9.6,1,2,Summer,2019.0,6.0,1,0,0
