SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical
W2971,42.21712393,-71.99983627,Chicopee,2020.0,2020.0,2,25.35,6.449999999999999,2.0,27.35,5.949999999999999,0,0,0,0.0,
W2972,42.27077749,-71.98279137,Chicopee,2020.0,2020.0,2,19.3,8.7,2.0,21.3,8.2,0,0,0,0.0,
W2973,42.33884782,-72.03406499,Chicopee,2020.0,2020.0,2,21.799999999999997,6.75,2.0,23.799999999999997,6.25,0,0,0,0.0,
W2974,42.33173523,-72.05029579,Chicopee,2020.0,2020.0,2,26.3,5.85,2.0,28.3,5.35,0,0,0,0.0,
W2975,42.2164917,-72.37689964,Chicopee,2020.0,2020.0,2,19.25,4.8,2.5,21.25,4.3,1,1,0,50.0,0.0
W2977,42.44429909,-72.37166057,Chicopee,2020.0,2020.0,2,17.95,9.0,2.0,19.95,8.5,0,0,0,0.0,
W2978,42.36492922,-72.32529204,Chicopee,2020.0,2020.0,2,19.05,8.9,2.0,21.05,8.4,0,0,0,0.0,
W2979,42.50329864,-72.31786462,Chicopee,2020.0,2020.0,2,16.8,7.65,2.0,18.8,7.15,0,0,0,0.0,
W2980,42.51854875,-72.31737256,Chicopee,2020.0,2020.0,2,20.9,7.4,2.0,22.9,6.9,0,0,0,0.0,
W2982,42.45211895,-72.16662911,Chicopee,2020.0,2020.0,2,17.5,8.9,2.0,19.5,8.4,0,0,0,0.0,
W2983,42.35641055,-72.23099629,Chicopee,2020.0,2020.0,2,19.85,5.85,2.5,21.85,5.35,1,1,0,50.0,0.0
W2984,42.31493164,-72.20590855,Chicopee,2020.0,2020.0,2,21.25,8.25,2.0,23.25,7.75,0,0,0,0.0,
W2985,42.31601104,-72.18146595,Chicopee,2020.0,2020.0,2,19.049999999999997,8.25,2.0,21.049999999999997,7.75,0,0,0,0.0,
W2986,42.41359781,-72.14305722,Chicopee,2020.0,2020.0,2,22.299999999999997,2.5,3.0,24.299999999999997,2.0,2,2,0,100.0,0.0
W2987,42.37739264,-72.10776295,Chicopee,2020.0,2020.0,2,22.0,8.5,2.0,24.0,8.0,0,0,0,0.0,
W2988,42.37487541,-72.08751928,Chicopee,2020.0,2020.0,2,18.6,8.85,1.0,20.6,8.35,0,0,0,0.0,
W2989,42.45158172,-72.0300279,Chicopee,2020.0,2020.0,2,23.200000000000003,5.25,2.0,25.200000000000003,4.75,0,1,1,0.0,0.0
W2990,42.41614547,-72.00792237,Chicopee,2020.0,2020.0,2,26.4,9.0,2.0,28.4,8.5,0,0,0,0.0,
W2991,42.44674169,-71.93975559,Chicopee,2020.0,2020.0,2,25.200000000000003,4.45,3.5,27.200000000000003,3.95,2,2,0,100.0,0.0
W2992,41.94464888,-71.37166023,Blackstone,2020.0,2020.0,2,23.5,7.9,2.0,25.5,7.4,0,0,0,0.0,
W2993,42.02818823,-71.53998784,Blackstone,2020.0,2020.0,2,20.200000000000003,7.8500000000000005,2.0,22.200000000000003,7.3500000000000005,0,0,0,0.0,
W2994,42.09240248,-71.59154659,Blackstone,2020.0,2020.0,2,19.7,5.75,1.0,21.7,5.25,0,1,1,0.0,0.0
W2995,42.22575344,-71.65289845,Blackstone,2020.0,2020.0,2,17.95,4.85,2.5,19.95,4.35,1,1,0,50.0,0.0
W2996,42.1149129,-71.70458582,Blackstone,2020.0,2020.0,2,17.6,0.8500000000000001,3.0,19.6,0.4,2,2,0,100.0,0.0
W2997,42.10854137,-71.69487674,Blackstone,2020.0,2020.0,2,18.9,8.05,2.0,20.9,7.550000000000001,0,0,0,0.0,
W2998,42.07200745,-71.70324028,Blackstone,2020.0,2020.0,2,18.7,8.1,2.0,20.7,7.6,0,0,0,0.0,
W2999,42.22369805,-71.68770771,Blackstone,2020.0,2020.0,2,19.35,3.45,3.0,21.35,2.95,2,2,0,100.0,0.0
W3000,42.29051615,-71.7673158,Blackstone,2020.0,2020.0,2,19.549999999999997,8.65,2.0,21.549999999999997,8.15,0,0,0,0.0,
W3001,42.26151866,-71.84831069,Blackstone,2020.0,2020.0,2,18.65,5.4,2.0,20.65,4.9,0,1,1,0.0,0.0
W3002,42.30545572,-71.87758341,Blackstone,2020.0,2020.0,1,20.2,6.2,2.0,22.2,5.7,0,0,0,0.0,
W3003,42.38881334,-71.29698568,Charles,2020.0,2020.0,2,21.6,6.65,2.0,23.6,6.15,0,0,0,0.0,
W3005,42.06029614,-71.42140501,Charles,2020.0,2020.0,2,22.05,8.1,2.0,24.05,7.6,0,0,0,0.0,
W3006,42.20924747,-71.18482101,Neponset,2020.0,2020.0,2,21.0,6.8,2.0,23.0,6.3,0,0,0,0.0,
W3007,42.56717587,-71.69666278,Nashua,2020.0,2020.0,2,16.6,7.0,2.0,18.6,6.5,0,0,0,0.0,
W3008,42.35232578,-71.89096029,Nashua,2020.0,2020.0,2,17.700000000000003,5.300000000000001,2.5,19.700000000000003,4.800000000000001,1,1,0,50.0,0.0
W3009,42.39315061,-71.58188625,Concord (SuAsCo),2020.0,2020.0,2,20.450000000000003,7.55,1.0,22.450000000000003,7.05,0,0,0,0.0,
W3010,42.44794562,-71.3782804,Concord (SuAsCo),2020.0,2020.0,2,24.4,6.4,2.0,26.4,5.9,0,0,0,0.0,
W3011,42.38602647,-71.43974631,Concord (SuAsCo),2020.0,2020.0,2,19.450000000000003,8.25,2.0,21.450000000000003,7.75,0,0,0,0.0,
W3012,42.37600327,-71.47659538,Concord (SuAsCo),2020.0,2020.0,2,27.0,7.55,2.0,29.0,7.05,0,0,0,0.0,
