SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W0844,42.45974876,-71.35935869,Concord (SuAsCo),2006.0,2006.0,5,20.34,6.859999999999999,1.8,22.34,6.36,1,2,1,20.0,100.0,20.17,MODERATE
W0847,42.39635089,-71.36467086,Concord (SuAsCo),2006.0,2006.0,4,20.55,4.475,2.5,22.55,3.975,2,2,0,50.0,0.0,35.275,MODERATE
W0849,42.35708626,-71.40313662,Concord (SuAsCo),2006.0,2006.0,4,17.0,6.175,2.0,19.0,5.675,1,1,0,25.0,0.0,21.0,MODERATE
W0850,42.35926526,-71.36883338,Concord (SuAsCo),2006.0,2006.0,5,19.34,7.06,2.0,21.34,6.56,1,1,0,20.0,0.0,19.67,MODERATE
W0993,42.53259005,-71.74028814,Nashua,2008.0,2008.0,8,20.7875,8.3375,1.75,22.7875,7.8375,0,0,0,0.0,,10.39375,LOW
W0995,42.45586034,-71.64556281,Nashua,2008.0,2008.0,4,17.025,1.6749999999999998,3.0,19.025,1.1749999999999998,4,4,0,100.0,0.0,58.5125,MODERATE
W0998,42.57506071,-71.62035616,Nashua,2008.0,2008.0,7,20.614285714285717,8.342857142857143,1.5714285714285714,22.614285714285717,7.8428571428571425,0,0,0,0.0,,10.307142857142859,LOW
W1000,42.57946682,-71.58861709,Nashua,2008.0,2008.0,6,21.05,6.833333333333333,2.0,23.05,6.333333333333333,0,0,0,0.0,,10.525,LOW
W1001,42.55197544,-71.62097756,Nashua,2008.0,2008.0,6,22.75,5.216666666666667,1.5,24.75,4.716666666666667,1,6,5,16.666666666666664,500.0,19.708333333333332,MODERATE
W1005,42.17302268,-72.07108074,Chicopee,2016.0,2016.0,45,15.931111111111113,6.319999999999999,1.8666666666666667,17.93111111111111,5.826666666666666,16,18,2,35.55555555555556,12.5,25.743333333333336,MODERATE
