SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W1945,42.15206107,-71.11240912,Neponset,2009.0,2009.0,6,16.05,5.983333333333333,1.8333333333333333,18.05,5.483333333333333,2,3,1,33.33333333333333,50.0,24.691666666666663,MODERATE
W1948,42.19275388,-71.14906792,Neponset,2009.0,2009.0,6,16.599999999999998,8.883333333333333,1.5,18.6,8.383333333333333,0,0,0,0.0,,8.299999999999999,LOW
W1949,42.25062143,-71.12953409,Neponset,2009.0,2009.0,6,21.266666666666666,7.35,1.6666666666666667,23.266666666666666,6.8500000000000005,0,0,0,0.0,,10.633333333333333,LOW
W1952,42.14824516,-71.2533023,Neponset,2009.0,2009.0,6,21.216666666666665,7.35,1.6666666666666667,23.21666666666667,6.8500000000000005,0,0,0,0.0,,10.608333333333333,LOW
W1963,42.15821391,-71.15549018,Neponset,2009.0,2009.0,6,18.766666666666666,9.183333333333334,1.5,20.766666666666666,8.683333333333334,0,0,0,0.0,,9.383333333333333,LOW
W1964,42.4694106,-71.12510374,Mystic,2009.0,2009.0,6,18.783333333333335,7.233333333333333,1.6666666666666667,20.783333333333335,6.733333333333333,0,0,0,0.0,,9.391666666666667,LOW
W1965,42.44730903,-71.13871254,Mystic,2009.0,2009.0,6,19.866666666666667,7.166666666666667,1.6666666666666667,21.866666666666664,6.666666666666667,0,0,0,0.0,,9.933333333333334,LOW
W1966,42.42231417,-71.14952294,Mystic,2009.0,2009.0,6,18.916666666666668,8.5,1.6666666666666667,20.916666666666668,8.0,0,0,0,0.0,,9.458333333333334,LOW
W1967,42.41791119,-71.07329736,Mystic,2009.0,2009.0,6,21.78333333333333,7.833333333333333,1.8333333333333333,23.78333333333333,7.333333333333333,1,1,0,16.666666666666664,0.0,19.224999999999998,MODERATE
W1969,42.40692802,-71.13399738,Mystic,2009.0,2009.0,6,20.6,3.516666666666667,2.6666666666666665,22.6,3.016666666666667,6,6,0,100.0,0.0,60.3,MODERATE
W1971,42.47298956,-71.17218991,Mystic,2009.0,2009.0,5,13.68,9.66,1.4,15.68,9.16,0,0,0,0.0,,6.84,LOW
W1972,42.47137193,-71.17418508,Mystic,2009.0,2009.0,5,13.72,9.48,1.4,15.72,8.98,0,0,0,0.0,,6.86,LOW
W1973,42.41196479,-71.1005642,Mystic,2009.0,2009.0,2,21.0,5.55,1.0,23.0,5.05,0,1,1,0.0,0.0,10.5,LOW
W1975,42.39711852,-71.07943281,Mystic,2009.0,2009.0,5,22.74,8.040000000000001,1.8,24.74,7.540000000000001,0,0,0,0.0,,11.37,MODERATE
W1977,42.43524414,-71.19406671,Mystic,2009.0,2009.0,6,16.466666666666665,7.316666666666666,1.6666666666666667,18.466666666666665,6.816666666666666,0,0,0,0.0,,8.233333333333333,LOW
W1978,42.4382644,-71.06956013,Mystic,2009.0,2009.0,6,20.883333333333333,8.25,1.6666666666666667,22.883333333333336,7.75,0,0,0,0.0,,10.441666666666666,LOW
W1979,42.49772931,-71.13348578,Mystic,2009.0,2009.0,6,19.033333333333335,4.666666666666667,2.5,21.033333333333335,4.166666666666667,5,6,1,83.33333333333334,20.0,51.18333333333334,MODERATE
W2096,42.17046703,-71.1262172,Neponset,2009.0,2009.0,4,27.5,7.175,1.75,29.5,6.675,0,1,1,0.0,0.0,13.75,MODERATE
W2097,42.19218292,-71.09296807,Neponset,2009.0,2017.0,15,23.626666666666665,8.353333333333333,2.066666666666667,25.626666666666665,7.853333333333333,1,1,0,6.666666666666667,0.0,15.146666666666667,MODERATE
W2152,42.15062894,-71.42890888,Charles,2010.0,2010.0,6,22.55,4.866666666666666,2.6666666666666665,24.55,4.366666666666666,3,6,3,50.0,100.0,36.275,MODERATE
W2153,42.17837899,-71.38380876,Charles,2010.0,2010.0,2,20.6,5.65,2.0,22.6,5.15,0,1,1,0.0,0.0,10.3,LOW
W2155,42.2331578,-71.32439929,Charles,2010.0,2010.0,6,18.616666666666664,8.016666666666667,2.0,20.616666666666667,7.516666666666667,0,0,0,0.0,,9.308333333333332,LOW
W2156,42.32625938,-71.26402999,Charles,2010.0,2010.0,6,25.933333333333337,8.266666666666667,2.0,27.933333333333337,7.766666666666667,0,0,0,0.0,,12.966666666666669,MODERATE
W2157,42.12140046,-71.45251286,Charles,2010.0,2010.0,6,23.700000000000003,6.633333333333333,2.0,25.700000000000003,6.133333333333333,0,0,0,0.0,,11.850000000000001,MODERATE
W2385,42.24343046,-71.09437763,Neponset,2013.0,2013.0,3,20.1,5.2,2.0,22.1,4.7,1,2,1,33.33333333333333,100.0,26.716666666666665,MODERATE
W2390,42.49511888,-71.1361368,Mystic,2013.0,2013.0,3,21.46666666666667,4.0,2.3333333333333335,23.46666666666667,3.5,3,3,0,100.0,0.0,60.733333333333334,MODERATE
